name,cost
Absorbent Gauze Roll,26500
Actisorb plus 25(10.5x10.5),15000
Actisorb plus 25(19.5cm x 10.5cm) 10's,26500
Adhesive Wound Dressing Tape 10cm X 10cm,900
Adhesive Wound Dressing Tape 15cmX10cm,1000
Airway Guedel,7500
Baby Haler,123450
Bactigras 100mm x 400mm dressing,8000
Bactigrass 100mm by 100mm,3000
Blood Transfusion Set  with Burette  150cc,21000
Blood Administration set,2000
Breast Pump (Manual),180000
"Central Venous Catheter - Triple Lumen 7FR, 20CM",150000
"Central Venous Catheter - Triple Lumen 7FR, 5.5CM",150000
Cervical Brush,30
Cervical Collar - Soft,45000
Cervical Collar - Rigid,30000
Cervical Collar- High Chin,95000
Cervical Immobilise(Top phill),97500
Colostomy bag,8000
Condom Catheter,1500
Cotton wool rolls,12000
Crepe Bandages 10cmX4m,3200
Crepe bandage adults 15cm x 4.5cm,4000
Crepe bandages paediactric 7.5cm x 4.5cm,3000
Disposable Gowns,9000
Drainage Bag,1600
Foley catheter 2way size,2800
Foley catheter 3-way size,9700
Gastrectomy tube with medication port,80000
Gauze Rolls(90*50cm),25000
Gauze bandages(10cm*3m),1600
Glucose Meter Soft Style,120000
Gynaecological gloves 7.5-8,6300
IV Paediatric Burrete,6000
IV administration set,1200
IV cannula 14G,1500
IV cannula 16G,1200
IV cannula 18G,1500
IV cannula 20G,1500
IV cannula 21G,1500
IV cannula 22G,1500
IV cannula 24G,1600
Injection needle 23G,150
Insulin syringe 100U,250
Mackintosh,4500
Moon Bead Kit,7000
Nasal cannular-Adult salter(Oxygen catheter),7000
Nasal cannular-Infant salter(Oxygen catheter),7000
Naso-Gastric tube,1000
Nylon 2/cutting needle,3200
Nylon 3/cutting needle,3000
Nylon cutting needle,3900
PGA (clinsut) 3/round needle,4000
PGA (clinsut) with round needle,6000
PGA 4/round needle,3500
PGA 5/round needle,16000
PGA 6/round needle,44000
PGA 2/round needle,5000
Polybag Guage, 1400
SilvercelHydro-alginate(10cmx20cm),30000
Spinal needle 20G,60000
Spinal needle 22G,3900
Strapping 7.5cmx5m,5000
Suction Catheter,1000
Surg g-dress gds,26600
Surgical blade size 20,200
Surgical blade size 22,200
Surgical blade size 18,200
Surgical blade size 16,250
Surgical gloves size 7- pair,1100
Surgical gloves size 7.5- pair,1500
Surgical gloves size 8- pair,1000
Surgical gloves size 8.pair,800
Syringe 20ml,600
Syringe 50ml,3000
Syringe 60ml,8000
Syringe BD 10ml,600
Syringe BD 2ml,300
Syringe BD 5ml,300
Syringes 3ml,350
Syringes for Mixtard Cartridges,2000
T-Tube,50000
Tegarderm CHG 1659R 10CM X15.5CM (3M),20000
Tongue Depressor,200
Umbilical cord clamp,2000
Urethral catheter size,500
Vacutainer EDTA 4mls,600
Vacutainer Plain(4mls),1000
Vacutainer needle G21(BD),200
Vacutainer needle holder,450
Vacutainer plain,1000
Vicryl(Ethicon) 3/RBN,14000
Vypro II Mesh 12*cm(Medium),600000
Vypro Mesh (6*11cm) - SMALL,270000
Vypro mesh 15*15cm(Large),530000
Water for injection - 10ml,1600
Shoulder Immobiliser,37500
