name,cost
AV Shunt,339000
Abdominal Tapping,26000
Ablation of extra digit(Theatre),251000
Adenectomy,736000
Adhesionolysis,354000
Ambulance Charge - Long distances,306100
Ambulance charge,140000
Amputation,428000
Anal Sphincterectomy under GA,254000
"Anterior Cervical Corpectomy, Cervical Bone Grafting & Spine Fission",2500000
Antero-Posterior Colporaphy,460000
Anti-reflux and Hernial Repair (thoracotomy),966000
Appendicectomy,631000
Armsling,8000
Arthodesis (Tension) of Ankle,313000
Arthrotomy,313000
Aspiration (Orthopaedic),63000
Aspiration(diagnostic),63000
Auxillary Clutches per piece,20000
Avulsion Phlebotomy,363000
B-Lynch Suture (After Normal Delivery),753000
B-Lynch Suture (After after Ceasarian),753000
BAWO/Fronto Ethmoidectomy,460000
Bilateral Salpingo Ophorectomy,501000
Bilateral Subcapsular Orchidectomy,450000
Bilateral Tubal Ligation (BTL),436000
Bilioth By Pass,460000
Birth Certificate,10000
Bladder Irrigation (at ward),72000
Bladder Washout,110000
Bone Grafting,589000
Bone Procedures (for Biopsy),240000
Bone drill,184000
Bouginage (Calibration),205000
C/SECTION Package,1100000
Caldwell - Luc,1366000
Carpal Tunnel Syndrome Release,275000
Carvenosa Decompression,451000
Catheterisation,45000
Cautery - corn,210000
Cautery - umbilical cord,210000
Cautery - warts,240000
Cautery of cervix,193000
Cecostomy,902000
Central Venous Catheter - Insertion,170000
Cephalo-radial fistula formation,489000
Cerebral Reservior Insertion,1353000
Change of gastrectomy tube,131000
Chlorhexidine 1.5% + cetrimide 5%- 1LTR- solution,18000
Cholecystectomy,681000
Cholecysto-Jejunostomy & Gastrojejunostomy,1400000
Cholecysto-Jejunostomy,934000
Circumcision - adult,150000
Circumcision - child,121000
Cleft lip repair,200000
Cleft lip/pallet repair,384000
Closed Fracture Reduction,255000
Closed Fracture Reductn + pop,144000
Closed Reduction and External Fixation,343000
Colonoscopy,627000
Colostomy [1st operation],731000
Colostomy [Refashioning],345000
Colostomy care (at ward),38000
Colostomy closure [2nd operation],559000
Colposcopy,68000
Evacuation for Abortion,48000
Cone Procedure - (for Biopsy),289000
Conjuctiva growth Excision,199000
Conjuctival flap,97000
Consultation - Fee Specialised Clinic - Oncology,20000
Consultation - eye clinic,10000
Consultation ANC/Registration,30000
Consultation Fee  - Oncology,10000
Consultation Fee - Consultant,50000
Consultation Fee - MO,40000
Consultation Fee - Medical,30000
Consultation Fee - Obs & Gyn,40000
Consultation Fee - Pediatrics,30000
Consultation Fee- Surgical,30000
Consultation Fees - Diabetic Clinic,15000
Consultation OPD Specialised Clinic - Medical,20000
Consultation OPD Specialised Clinic - Obs & Gyn,20000
Consultation OPD Specialised Clinic - Pediatrics,20000
Consultation OPD Specialised Clinic - Surgical,20000
Consultation fee - Emergency,30000
Consultation fee - Wellness Clinic,60000
Consultation fee - neurophysician 1st visit,40000
Consultation fee - neurophysician Follow up,30000
Consultation fee - neurosurgeon 1st visit,50000
Consultation fee - neurosurgeon follow ups,30000
Contractual Release,146000
Corneal repair,131000
Corrective Osteotomy,302000
Corrective osteotomy in child,179000
Counselling Fees - OPD,20000
Craniectomy,951000
Craniotomy,951000
